"code","id","lat","long","state","year","runoff_mmd","rank","percentile"
"PA","42","41.203322","-77.194525","Pennsylvania","2018","2.12769","4","96.64"
"MT","30","46.879682","-110.362566","Montana","2018","0.51234","6","94.96"
"WV","54","38.597626","-80.454903","West Virginia","2018","1.94613","6","94.96"
"OH","39","40.417287","-82.907123","Ohio","2018","1.45586","7","94.12"
"IA","19","41.878003","-93.097702","Iowa","2018","0.90831","8","93.28"
"WI","55","43.78444","-88.787868","Wisconsin","2018","0.98649","8","93.28"
"MD","24","39.045755","-76.641271","Maryland","2018","1.61795","11","90.76"
"DC","11","38.905985","-77.033418","District of Columbia","2018","1.45686","12","89.92"
"MI","26","44.314844","-85.602364","Michigan","2018","1.06274","12","89.92"
"MN","27","46.729553","-94.6859","Minnesota","2018","0.58538","12","89.92"
"KY","21","37.839333","-84.270018","Kentucky","2018","1.83273","13","89.08"
"IN","18","40.551217","-85.602364","Indiana","2018","1.30168","15","87.39"
"PR","72","18.220833","-66.590149","Puerto Rico","2018","2.88848","20","73.68"
"TN","47","35.517491","-86.580447","Tennessee","2018","1.90672","22","81.51"
"DE","10","38.910832","-75.52767","Delaware","2018","1.57336","24","78.95"
"RI","44","41.580095","-71.477429","Rhode Island","2018","1.98138","31","71.03"
"ID","16","44.068202","-114.742041","Idaho","2018","0.83375","32","73.11"
"NY","36","43.299428","-74.217933","New York","2018","1.7152","33","72.27"
"NC","37","35.759573","-79.0193","North Carolina","2018","1.40403","34","71.43"
"CT","09","41.603221","-73.087749","Connecticut","2018","1.90673","35","70.59"
"WY","56","43.075968","-107.290284","Wyoming","2018","0.30183","35","70.59"
"SD","46","43.969515","-99.901813","South Dakota","2018","0.12354","36","69.75"
"MA","25","42.407211","-71.382437","Massachusetts","2018","1.81878","37","68.91"
"VA","51","37.431573","-78.656894","Virginia","2018","1.17123","38","68.07"
"NJ","34","40.058324","-74.405661","New Jersey","2018","1.58846","40","66.39"
"NE","31","41.492537","-99.901813","Nebraska","2018","0.15614","41","65.55"
"IL","17","40.633125","-89.398528","Illinois","2018","0.84303","42","64.71"
"NH","33","43.193852","-71.572395","New Hampshire","2018","1.82844","47","60.5"
"WA","53","47.751074","-120.740139","Washington","2018","2.56898","48","59.66"
"FL","12","27.664827","-81.515754","Florida","2018","1.05541","49","58.47"
"HI","15","19.898682","-155.665857","Hawaii","2018","5.21717","49","55.45"
"AR","05","35.20105","-91.831833","Arkansas","2018","1.03699","50","57.98"
"ME","23","45.253783","-69.445469","Maine","2018","1.75421","52","56.3"
"LA","22","31.244823","-92.145024","Louisiana","2018","0.98281","56","52.54"
"VT","50","44.558803","-72.577841","Vermont","2018","1.71138","56","52.94"
"MS","28","32.354668","-89.398528","Mississippi","2018","1.27152","63","47.06"
"ND","38","47.551493","-101.002012","North Dakota","2018","0.07033","66","44.54"
"OK","40","35.007752","-97.092877","Oklahoma","2018","0.25818","69","42.02"
"MO","29","37.964253","-91.831833","Missouri","2018","0.52671","71","40.34"
"AL","01","32.318231","-86.902298","Alabama","2018","1.36793","72","39.5"
"NV","32","38.80261","-116.419389","Nevada","2018","0.09242","79","33.61"
"TX","48","31.968599","-99.901813","Texas","2018","0.13602","79","33.61"
"OR","41","43.804133","-120.554201","Oregon","2018","1.06472","88","26.05"
"GA","13","32.157435","-82.907123","Georgia","2018","0.81483","92","22.69"
"SC","45","33.836081","-81.163725","South Carolina","2018","0.79946","92","22.69"
"CA","06","36.778261","-119.417932","California","2018","0.36595","94","21.01"
"AK","02","63.588753","-154.493062","Alaska","2018","2.35932","95","12.04"
"KS","20","39.011902","-98.484246","Kansas","2018","0.07959","99","16.81"
"UT","49","39.32098","-111.093731","Utah","2018","0.1012","107","10.08"
"NM","35","34.97273","-105.032363","New Mexico","2018","0.02775","110","7.56"
"CO","08","39.550051","-105.782067","Colorado","2018","0.10629","113","5.04"
"AZ","04","34.048928","-111.093731","Arizona","2018","0.01651","117","1.68"
